iter	Passed	Remaining
630	134705	39493
631	135329	39399
632	136027	39325
633	136689	39238
634	136806	38995
635	136913	38749
636	137014	38501
637	137110	38253
638	137199	38003
639	137307	37759
640	137401	37512
641	137493	37264
642	137582	37016
643	137676	36770
644	137774	36526
645	137872	36282
646	137962	36036
647	138061	35793
648	138160	35551
649	138257	35308
650	138346	35064
651	138436	34821
652	138522	34577
653	138612	34335
654	138707	34094
655	138801	33854
656	138889	33612
657	138982	33372
658	139065	33130
659	139149	32889
660	139243	32651
661	139426	32434
662	139520	32197
663	139614	31959
664	139708	31723
665	139801	31486
666	139895	31251
667	139983	31014
668	140076	30779
669	140177	30546
670	140267	30311
671	140360	30077
672	140447	29842
673	140541	29609
674	140633	29376
675	140726	29144
676	140826	28914
677	140915	28681
678	141009	28451
679	141100	28220
680	141193	27989
681	141283	27759
682	141375	27529
683	141470	27301
684	141564	27072
685	141662	26845
686	141784	26623
687	141927	26405
688	142022	26178
689	142119	25952
690	142221	25727
691	142312	25501
692	142405	25275
693	142494	25049
694	142595	24825
695	142945	24645
696	143631	24522
697	144278	24390
698	145044	24277
699	145740	24151
700	146459	24026
701	147133	23893
702	147681	23738
703	147779	23510
704	147871	23281
705	147962	23053
706	148058	22826
707	148148	22598
708	148240	22372
709	148329	22144
710	148421	21918
711	148510	21692
712	148601	21467
713	148701	21243
714	148792	21018
715	148885	20794
716	148976	20569
717	149072	20346
718	149171	20124
719	149258	19901
720	149349	19678
721	149441	19456
722	149539	19235
723	149632	19014
724	149729	18793
725	149823	18573
726	149920	18353
727	150017	18134
728	150116	17915
729	150210	17696
730	150296	17476
731	150382	17256
732	150477	17039
733	150563	16820
734	150656	16602
735	150743	16385
736	150839	16168
737	150927	15951
738	151024	15735
739	151112	15519
740	151202	15303
741	151299	15089
742	151385	14873
743	151482	14659
744	151577	14445
745	152096	14271
746	152771	14111
747	153506	13955
748	153999	13775
749	154754	13618
750	155522	13460
751	156214	13294
752	156653	13106
753	156745	12888
754	156834	12671
755	156924	12454
756	157049	12240
757	157157	12025
758	157252	11809
759	157358	11594
760	157442	11378
761	157535	11163
762	157612	10948
763	157702	10733
764	157825	10521
765	157935	10309
766	158044	10096
767	158156	9884
768	158255	9672
769	158366	9460
770	158471	9249
771	158573	9037
772	159274	8860
773	160220	8694
774	160907	8512
775	161642	8332
776	162334	8148
777	163032	7963
778	163612	7771
779	163722	7556
780	163833	7342
781	163937	7127
782	164039	6913
783	164146	6699
784	164252	6486
785	164355	6273
786	164449	6059
787	164542	5846
788	164632	5633
789	164731	5421
790	164828	5209
791	164927	4997
792	165020	4786
793	165110	4574
794	165198	4363
795	165290	4153
796	165385	3942
797	165479	3732
798	165570	3522
799	165665	3313
800	165764	3104
801	165857	2895
802	165952	2686
803	166035	2478
804	166127	2270
805	166210	2062
806	166299	1854
807	166385	1647
808	166471	1440
809	166637	1234
810	167602	1033
811	168304	829
812	168959	623
813	169658	416
814	170287	208
815	170947	0
